db_id,question,query
scholar,list papers published by balakrishnan prabhakaran,"select distinct t3.paperid  ,  t3.year from writes as t2 join author as t1 on t2.authorid  =  t1.authorid join paper as t3 on t2.paperid  =  t3.paperid where t1.authorname  =  ""balakrishnan prabhakaran"";"
flight_1,show the name of aircraft which fewest people have its certificate.,select t2.name from certificate as t1 join aircraft as t2 on t2.aid  =  t1.aid group by t1.aid order by count(*) desc limit 1
scholar,what are recent papers on deep learning ?,"select distinct t3.paperid  ,  t3.year from paperkeyphrase as t2 join keyphrase as t1 on t2.keyphraseid  =  t1.keyphraseid join paper as t3 on t3.paperid  =  t2.paperid where t1.keyphrasename  =  ""deep learning"" order by t3.year desc;"
department_management,"list the name, born state and age of the heads of departments ordered by age.","select name ,  born_state ,  age from head order by age"
car_1,what are the name of the countries where there is not a single car maker?,select countryname from countries except select t1.countryname from countries as t1 join car_makers as t2 on t1.countryid  =  t2.country;
hr_1,what is all the information about the marketing department?,select * from  departments where department_name  =  'marketing'
tracking_share_transactions,show the average share count of transactions for different investors.,"select investor_id ,  avg(share_count) from transactions group by investor_id"
tracking_software_problems,what are the log id and entry description of each problem?,"select problem_log_id ,  log_entry_description from problem_log"
manufacturer,find the number of funiture types produced by each manufacturer as well as the company names.,"select count(*) ,  t1.name from manufacturer as t1 join furniture_manufacte as t2 on t1.manufacturer_id  =  t2.manufacturer_id group by t1.manufacturer_id"
icfp_1,"list the titles of the papers whose authors are from the institution ""indiana university"".","select distinct t1.title from papers as t1 join authorship as t2 on t1.paperid  =  t2.paperid join inst as t3 on t2.instid  =  t3.instid where t3.name  =  ""indiana university"""
wine_1,"list the grape, appelation and name of wines whose score is higher than 93 ordered by name.","select grape ,  appelation ,  name from wine where score  >  93 order by name"
small_bank_1,find the total saving balance for each account name.,"select sum(t2.balance) ,  t1.name from accounts as t1 join savings as t2 on t1.custid  =  t2.custid group by t1.name"
wedding,show the opening year in whcih at least two churches opened.,select open_date from church group by open_date having count(*)  >=  2
driving_school,how many staff have the first name ludie?,"select count(*) from staff where first_name = ""ludie"";"
entrepreneur,"what are the companies of entrepreneurs, ordered descending by amount of money requested?",select company from entrepreneur order by money_requested desc
yelp,"find all restaurant that serve seafood in "" los angeles ""","select t1.name from category as t2 join business as t1 on t2.business_id  =  t1.business_id join category as t3 on t3.business_id  =  t1.business_id where t1.city  =  ""los angeles"" and t2.category_name  =  ""seafood"" and t3.category_name  =  ""restaurant"";"
geo,which states border the longest river in the usa,select border from border_info where state_name in ( select traverse from river where length  =  ( select max ( length ) from river ) );
pets_1,find the major and age of students who do not have a cat pet.,"select major ,  age from student where stuid not in (select t1.stuid from student as t1 join has_pet as t2 on t1.stuid  =  t2.stuid join pets as t3 on t3.petid  =  t2.petid where t3.pettype  =  'cat')"
behavior_monitoring,return the cell phone number and email address for all students.,"select cell_mobile_number ,  email_address from students"
customer_complaints,what are the emails and phone numbers of custoemrs who have never filed a complaint?,"select email_address ,  phone_number from customers where customer_id not in (select customer_id from complaints)"
gas_company,"what are the gas station ids, locations, and manager names for the gas stations ordered by opening year?","select station_id ,  location ,  manager_name from gas_station order by open_year"
candidate_poll,list all female (sex is f) candidate names in the alphabetical order.,select t1.name from people as t1 join candidate as t2 on t1.people_id  =  t2.people_id where t1.sex  =  'f' order by t1.name
movie_1,find the average rating star for each movie that received at least 2 ratings.,"select mid ,  avg(stars) from rating group by mid having count(*)  >=  2"
academic,"return me the author who has the most number of papers containing keyword "" relational database "" .","select t2.name from publication_keyword as t5 join keyword as t1 on t5.kid  =  t1.kid join publication as t3 on t3.pid  =  t5.pid join writes as t4 on t4.pid  =  t3.pid join author as t2 on t4.aid  =  t2.aid where t1.keyword  =  ""relational database"" group by t2.name order by count ( distinct t3.title ) desc limit 1;"
college_2,"what are the names of all instructors with names that include ""dar""?",select name from instructor where name like '%dar%'
geo,how high is the highest point in america,select max ( highest_elevation ) from highlow;
flight_1,what is the average distance and average price for flights from los angeles.,"select avg(distance) ,  avg(price) from flight where origin  =  ""los angeles"""
icfp_1,"find the first names and last names of the authors whose institution affiliation is ""google"".","select distinct t1.fname ,  t1.lname from authors as t1 join authorship as t2 on t1.authid  =  t2.authid join inst as t3 on t2.instid  =  t3.instid where t3.name  =  ""google"""
csu_1,"what is the number of faculty lines in campus ""long beach state university"" in 2002?","select faculty from faculty as t1 join campuses as t2 on t1.campus  =  t2.id where t1.year  =  2002 and t2.campus  =  ""long beach state university"""
apartment_rentals,show the most common apartment type code among apartments with more than 1 bathroom.,select apt_type_code from apartments where bathroom_count  >  1 group by apt_type_code order by count(*) desc limit 1
game_1,what are the names of all the video games and their types in alphabetical order?,"select gname ,  gtype from video_games order by gname"
restaurants,give me some restaurants good for french food ?,"select t2.house_number  ,  t1.name from restaurant as t1 join location as t2 on t1.id  =  t2.restaurant_id where t1.food_type  =  ""french"" and t1.rating  >  2.5;"
geo,which is the lowest point of the states that the mississippi runs through,"select lowest_point from highlow where state_name in ( select traverse from river where river_name  =  ""mississippi"" ) order by lowest_elevation limit 1;"
scholar,how many parsing papers appeared in the proceeeding of acl 2014 ?,"select distinct count ( t3.paperid ) from paperkeyphrase as t2 join keyphrase as t1 on t2.keyphraseid  =  t1.keyphraseid join paper as t3 on t3.paperid  =  t2.paperid join venue as t4 on t4.venueid  =  t3.venueid where t1.keyphrasename  =  ""parsing"" and t3.year  =  2014 and t4.venuename  =  ""acl"";"
